CD4_naive,CD8_naive,Cytotoxic,Exhausted,Tr1,nTreg,iTreg,Th1,Th2,Th17,Tfh,Central_memory,Effector_memory,NKT,MAIT,DC,Bcell,Monocyte,Macrophage,NK,Neutrophil,Gamma_delta,CD4_T,CD8_T
CD2,MAN1C1,KNG1,ADGRG1,TNFRSF4,FOXP3,FOXP3,IFNG,GZMK,IL1R1,CA8,CORO7,APBA3,CASP5,CD8A,BLVRB,AFTPH,IL7R,ARPC4,DNAJB14,IL18RAP,KLRG1,SELL,CD27
CD3G,CRTAM,PSORS1C2,AFAP1L2,CD4,STAT5A,STAT5A,IL2,IL4,RORC,CD2,ATM,CD160,DOLK,CD8B,C1QA,AHSP,APOC3,ATP6V0E1,IL18RAP,BMX,CYP4A11,NT5E,CD8B
CD4,BLNK,BLNK,CCND2,CCR4,DUSP4,CCR8,MNAT1,GATA3,CD4,CD3G,GMEB2,CD2,GMIP,CERK,C1QB,ANXA3,ADCY8,BPI,IL2RB,BTNL8,CCR5,ITK,CLUAP1
GIMAP6,CCR7,SCN3A,CD38,CD28,CD4,CD5,SLAMF1,GSTA4,IL21,GZMM,SNRPN,CD8B,PRR5L,FLT4,CSF1R,CNOT1,CLCA4,C1QA,KIR2DL3,CASP5,GZMH,TRMT2B,CRTAM
GLG1,KERA,TNFRSF10C,CD8A,LAX1,CTLA4,HS3ST3B1,STAT1,SLC25A44,IL17RA,ITK,ADSL,CDK10,SGCA,TBC1D31,CXCR3,HLA-DPB1,CPA2,C1QB,KIR3DL2,CLC,ACD,AAK1,FKTN
HMOX2,ZNF208,ITGAM,CD8B,,TNFRSF9,TTN,EIF2B2,,,KLRB1,ITK,CDKN2AIP,SLAMF1,DKK3,FGL2,HLA-DQA1,DPP6,CAMP,NCR1,CXCR1,CHST12,CD4,KLRG1
IL7R,TREM1,KLRK1,CHST12,,IL10RA,CTLA4,APBB2,,,LTA,TFAP4,CHST12,TCOF1,GPR171,GZMB,LSM6,HSPB6,CHIT1,NCR3,CXCR2,GZMA,GPR183,LY9
ITK,CD8A,CD8A,CTLA4,,IL2RA,FASLG,CCL4,,,MAP4K1,NAA16,COG4,TGFBR2,NR1D1,IL21R,MEFV,KNG1,CLEC5A,PSMD4,FCGR3B,GZMB,KLHL3,PLCG1
LIMD2,CD8B,GNLY,DFNB31,,CD5,ICOS,CTLA4,,,ST8SIA1,LY9,CX3CR1,,SLAMF1,KCNA5,MS4A1,KLRK1,CLIP1,SPON2,FPR2,LAG3,CCR4,RING1
LY9,GPR15,GZMH,EOMES,,SIT1,CCR3,GGT1,,,TRAC,CYLD,DHX16,,TC2N,KCNC3,NMUR1,GZMH,CSF1R,XCL1,HSPA6,NKG7,ITIH4,SF1
NAA16,HTR1B,PTGDR2,FUT8,,,GALNT8,LTA,,,,GIMAP4,EWSR1,,,KCTD5,PADI4,KLRB1,CYBB,C1QB,MEFV,PRF1,DLEC1,SIRPG
OBSCN,SMCP,CD8B,ITM2A,,,NFATC3,SYNGR3,,,TRIB2,PURA,GIMAP6,,,LILRB4,PYGM,SGCA,FGR,CALY,PADI4,PVRIG,ZAP70,TSPAN32
PACS1,NKTR,GZMA,LAG3,,,SIT1,TACO1,,,UBASH3A,DVL1,GPR171,,,LMAN2L,STRN4,CA1,GGA1,CD37,S100A12,TINF2,PLXDC1,ARHGEF1
PLCL1,PSG11,PRF1,MYO1E,,,CD28,,,,,RPP38,GZMK,,,NFKB1,TRAF3,TLR8,GRB2,CLEC10A,TREML2,ZMAT5,CD40LG,EEF1D
RPL14,SLC17A4,,NDFIP2,,,IL10RA,,,,,LRIG2,HMOX2,,,PLD2,TCL6,CYBB,IFNAR1,CRTAM,TRPM6,C1orf61,LAX1,PPP1R2
SNPH,RRH,,PARK7,,,PPM1B,,,,,IL7R,IKZF3,,,,BLK,IGSF6,IGSF6,CSF2RB,SIGLEC5,GNLY,TNFRSF4,CTSW
TPP2,SMR3B,,PDCD1,,,ATG2B,,,,,CDKN2AIP,ITK,,,PTGIR,WNT16,KLRF1,IL17RA,CX3CR1,CREB5,LCP2,GPR171,FBXW4
TRAF1,CA14,,SIRPG,,,CCR4,,,,,APBB1,KLRD1,,,SIGLEC1,CD37,CYP4F3,LILRA2,GZMB,ALPL,PSTPIP1,LY9,ZNF611
ZBTB40,FXYD7,,SNX9,,,ZFYVE9,,,,,IPCEF1,KLRG1,,,SLAMF8,CD19,CLEC10A,MARCO,IL7R,AATK,PTPN4,NCK2,GZMH
CD40LG,CCDC87,,,,,,,,,,CD247,MAPKAPK5,,,SLC15A3,HRH4,FOLR2,MMP8,KNG1,CEACAM3,RALY,PLCG1,CD8A
SEPT9,LIN28A,,,,,,,,,,CD40LG,MORC2,,,SYT17,CA1,LTBR,MS4A6A,MAN1C1,CSF2RB,TAB2,,TTN
,MOGAT2,,,,,,,,,,TRADD,MRFAP1L1,,,VAV2,COL19A1,MAP3K2,OTUD4,PRR5L,CSF3R,TDP1,,CD7
,TNKS2,,,,,,,,,,CD3E,PLCG1,,,CA8,GNG3,NUP214,PSME1,SYT17,FBXO38,,,CX3CR1
,GJB4,,,,,,,,,,TPR,PSMC5,,,CALY,PLIN1,OSBPL11,RENBP,,MAK,,,
,KRT1,,,,,,,,,,ARID5B,RNF167,,,CRTAM,SGCA,RTN3,,,PAK2,,,
,CALY,,,,,,,,,,UBASH3A,SBF1,,,CYP4F3,CD79A,SERP1,,,TOP1,,,
,,,,,,,,,,,NCK1,SF3B2,,,GATA3,CD79B,TBK1,,,UBXN2B,,,
,,,,,,,,,,,SPTAN1,SLAMF1,,,ITIH4,,SOCS3,,,VNN3,,,
,,,,,,,,,,,GPR171,TBCD,,,PRR5L,,,,,,,,
,,,,,,,,,,,CD5,USP47,,,ST8SIA1,,,,,,,,
,,,,,,,,,,,,ZFYVE9,,,TNFRSF10C,,,,,,,,
,,,,,,,,,,,,ZNF549,,,,,,,,,,,